date,clock_time,am_pm,pre_delay,teeth,tongue,floss,total,rating,age,notes
2026-05-07,8:45,PM,,8:30,4:33,3:59,17:01,6,6y4m,"Did okay - cooperative but somewhat slow. Thumbs down on starting: wouldn't go brush until I went first."
2026-05-09,10:05,PM,,9:19,1:57,6:36,17:52,7,6y4m,"Tired and didn't want to come; turned it into a race and he beat me into the bathroom. Beat me in all races today and ran ~1.5 miles - impressive. Brushing okay with a little non-cooperation. Counted teeth: 24 total (top: 10 baby + 2 new molars; bottom: 10 baby + 2 new molars). No teeth lost yet - he can report back to Henry on Monday. He remembered from the dentist that he should have at least 20 baby teeth."
2026-05-10,8:23,PM,,12:35,,4:30,17:05,5,6y4m,"Forgot to lap for tongue brushing - teeth+tongue combined = 12:35. Overall time was less than yesterday but cooperation was worse."
2026-05-12,9:25,PM,,7:38,2:01,2:56,12:35,9,6y4m,"Went very well - very cooperative. Had slid down some stairs earlier and landed on his face; had to clean/treat the injury before brushing, but he handled the whole routine without issue."
2026-05-13,9:58,PM,,6:45,1:30,2:35,10:50,6,6y4m,"Had some attitude but fastest time to date (previous best 12:35)."
2026-05-14,9:13,PM,,7:03,1:37,2:22,11:01,3,6y4m,"Bad attitude tonight - biting the brush and making loud upset noises. Timer ran for >1 min before brushing even started because he didn't come to the bathroom; teeth lap is inflated accordingly (actual brushing closer to ~6 min)."
2026-05-15,8:03,PM,0:36,6:57,1:14,2:24,10:36,8,6y4m,"He did well today. First stopwatch lap captured the delay from announcement to actually arriving at the sink (36s); brushing itself was 10:36."
2026-05-17,8:33,PM,0:00,6:55,1:14,2:14,10:23,7,6y4m,"Went to brush immediately - no wait time. A little surly at start but quickly started to cooperate; was motivated by getting a fast time. New fastest brushing time (previous best 10:36)."
2026-05-18,9:03,PM,0:00,5:27,1:47,3:12,10:25,8,6y4m,"Good cooperation, no attitude. No lead-in time. Came up ~2 seconds short of yesterday's record (10:23)."
2026-05-19,9:22,PM,0:00,29:12,1:48,4:22,35:21,2,6y4m,"Everything collapsed about halfway through brushing teeth. No lead-in time and brushing was going well, then he suddenly moved very close and tilted his head in a way incompatible with brushing at all, and refused to reposition - eventually yelling and going to sit down in the bathroom. He repeatedly said he ""needed a break"" and was ""too sad"" to brush, and disliked the timer continuing as he delayed. He told me to shut up and said ""get out of here"" when brushing was finally done. Teeth lap (29:12) is heavily inflated by the meltdown. Rating 2 - a 1 would mean having to force-brush him."
